country,sport,competition,expected_gold,expected_silver,expected_bronze,expected_total,top_athlete,top_athlete_gold_prob
ITA,Short Track Speed Skating,Men's 1000m,1.0,0.0,0.0,1.0,Pietro Sighel,1.0
ITA,Figure Skating,Men's Singles,1.0,0.0,0.0,1.0,Daniel Grassl,1.0
ITA,Biathlon,Mixed Relay,0.0,0.0,1.0,1.0,Team Italy,0.0
ITA,Curling,Mixed Doubles Curling,1.0,0.0,0.0,1.0,Team Italy,1.0
ITA,Speed Skating,Women's 3000m,1.0,0.0,0.0,1.0,Francesca Lollobrigida,1.0
ITA,Speed Skating,Men's 5000m,1.0,0.0,0.0,1.0,Davide Ghiotto,1.0
ITA,Speed Skating,Men's Mass Start,0.0,0.0,1.0,1.0,Andrea Giovannini,0.0
ITA,Speed Skating,Men's 10000m,0.0,1.0,0.0,1.0,Davide Ghiotto,0.0
JPN,Ski Jumping,Women's Large Hill Individual,0.0,0.0,1.0,1.0,Nozomi Maruyama,0.0
JPN,Snowboard,Women's Halfpipe,0.0,0.0,1.0,1.0,Sena Tomita,0.0
JPN,Snowboard,Men's Slopestyle,0.0,0.0,1.0,1.0,Kira Kimura,0.0
JPN,Snowboard,Men's Big Air,1.0,0.0,0.0,1.0,Kira Kimura,1.0
JPN,Snowboard,Women's Big Air,0.0,1.0,0.0,1.0,Kokomo Murase,0.0
JPN,Nordic Combined,Men's Individual Normal Hill,0.0,0.0,1.0,1.0,Ryota Yamamoto,0.0
JPN,Nordic Combined,Men's Individual Large Hill,1.0,0.0,0.0,1.0,Ryota Yamamoto,1.0
JPN,Figure Skating,Women's Singles,0.0,1.0,0.0,1.0,Kaori Sakamoto,0.0
JPN,Ice Hockey,Women's Ice Hockey,0.0,0.0,1.0,1.0,Team Japan,0.0
JPN,Ski Jumping,Mixed Team,0.0,0.0,1.0,1.0,Team Japan,0.0
JPN,Speed Skating,Men's 500m,0.0,0.0,1.0,1.0,Tatsuya Shinhama,0.0
JPN,Speed Skating,Women's 1500m,0.0,1.0,0.0,1.0,Miho Takagi,0.0
JPN,Speed Skating,Women's 1000m,0.0,1.0,0.0,1.0,Miho Takagi,0.0
JPN,Speed Skating,Women's Mass Start,0.0,0.0,1.0,1.0,Ayano Sato,0.0
KAZ,Figure Skating,Men's Singles,0.0,0.0,1.0,1.0,Mikhail Shaidorov,0.0
KOR,Short Track Speed Skating,Men's 500m,0.0,1.0,0.0,1.0,Park Ji-won,0.0
KOR,Short Track Speed Skating,Men's 1000m,0.0,1.0,0.0,1.0,Park Ji-won,0.0
