country,sport,competition,expected_gold,expected_silver,expected_bronze,expected_total,top_athlete,top_athlete_gold_prob
FRA,Biathlon,Men's 4x7.5km Relay,0.292,0.232,0.178,0.702,Team France,0.292
SCO,Curling,Men's Curling,0.276,0.236,0.191,0.702,Bruce Mouat,0.276
CHN,Freestyle Skiing,Women's Halfpipe,0.281,0.233,0.186,0.7,Eileen Gu,0.281
SWE,Freestyle Skiing,Men's Big Air,0.236,0.232,0.232,0.699,Oliwer Magnusson,0.173
RUS,Snowboard,Men's Parallel Giant Slalom,0.237,0.232,0.228,0.696,Dmitry Loginov,0.197
SWE,Freestyle Skiing,Men's Slopestyle,0.234,0.232,0.229,0.695,Oliwer Magnusson,0.172
SUI,Freestyle Skiing,Women's Ski Cross,0.232,0.231,0.227,0.691,Fanny Smith,0.14
USA,Speed Skating,Men's 1500m,0.294,0.228,0.169,0.69,Jordan Stolz,0.294
ITA,Speed Skating,Men's 5000m,0.235,0.235,0.219,0.688,Davide Ghiotto,0.199
SWE,Cross-Country Skiing,Women's 4x5km Relay,0.259,0.23,0.196,0.685,Team Sweden,0.248
NOR,Ski Jumping,Men's Team,0.192,0.25,0.239,0.681,Team Norway,0.192
AUT,Snowboard,Women's Parallel Giant Slalom,0.219,0.226,0.234,0.679,Daniela Ulbing,0.161
SWE,Biathlon,Women's 10km Pursuit,0.222,0.223,0.219,0.664,Hanna Oeberg,0.076
SWE,Biathlon,Women's 7.5km Sprint,0.221,0.222,0.22,0.663,Hanna Oeberg,0.077
SUI,Freestyle Skiing,Men's Aerials,0.238,0.222,0.203,0.662,Noe Roth,0.205
SWE,Biathlon,Women's 15km Individual,0.219,0.222,0.22,0.661,Hanna Oeberg,0.077
SWE,Biathlon,Women's 12.5km Mass Start,0.221,0.221,0.22,0.661,Anna Magnusson,0.076
NED,Speed Skating,Men's 5000m,0.196,0.221,0.241,0.658,Beau Snellink,0.104
NED,Speed Skating,Men's 500m,0.203,0.215,0.225,0.643,Jenning De Boo,0.111
NZL,Freestyle Skiing,Men's Halfpipe,0.237,0.214,0.191,0.642,Nico Porteous,0.223
FRA,Biathlon,Women's 4x6km Relay,0.249,0.213,0.175,0.638,Team France,0.249
CAN,Curling,Men's Curling,0.229,0.217,0.189,0.635,Brad Gushue,0.229
FRA,Biathlon,Mixed Relay,0.248,0.21,0.175,0.633,Team France,0.248
NOR,Cross-Country Skiing,Women's 50km Mass Start,0.207,0.211,0.215,0.633,Karoline Simpson-Larsen,0.042
NOR,Cross-Country Skiing,Women's Skiathlon,0.205,0.209,0.216,0.629,Karoline Simpson-Larsen,0.041
NOR,Cross-Country Skiing,Women's 10km,0.203,0.21,0.211,0.624,Karoline Simpson-Larsen,0.041
AUT,Skeleton,Women's Skeleton,0.234,0.208,0.179,0.621,Janine Flock,0.234
ITA,Speed Skating,Men's Mass Start,0.211,0.207,0.195,0.613,Andrea Giovannini,0.134
SWE,Cross-Country Skiing,Women's Team Sprint,0.209,0.206,0.198,0.613,Team Sweden,0.184
JPN,Ski Jumping,Women's Normal Hill Individual,0.204,0.205,0.202,0.612,Nozomi Maruyama,0.147
JPN,Ski Jumping,Women's Large Hill Individual,0.202,0.208,0.202,0.612,Nozomi Maruyama,0.146
FRA,Freestyle Skiing,Women's Moguls,0.219,0.209,0.18,0.608,Perrine Laffont,0.219
FRA,Freestyle Skiing,Women's Dual Moguls,0.217,0.209,0.18,0.606,Perrine Laffont,0.217
USA,Freestyle Skiing,Men's Moguls,0.196,0.201,0.208,0.606,Nick Page,0.111
USA,Freestyle Skiing,Men's Dual Moguls,0.193,0.199,0.208,0.6,Nick Page,0.11
CZE,Speed Skating,Men's 10000m,0.206,0.201,0.18,0.587,Metoděj Jílek,0.206
USA,Speed Skating,Women's 500m,0.213,0.194,0.173,0.58,Erin Jackson,0.188
NZL,Snowboard,Women's Big Air,0.214,0.194,0.17,0.579,Zoi Sadowski-Synnott,0.214
POL,Speed Skating,Women's 500m,0.193,0.193,0.192,0.578,Andżelika Wójcik,0.119
NED,Speed Skating,Men's Mass Start,0.196,0.191,0.19,0.577,Bart Hoolwerf,0.112
NZL,Snowboard,Women's Slopestyle,0.213,0.193,0.172,0.577,Zoi Sadowski-Synnott,0.213
USA,Figure Skating,Men's Singles,0.197,0.193,0.186,0.577,Ilia Malinin,0.131
CAN,Freestyle Skiing,Men's Halfpipe,0.172,0.19,0.214,0.576,Noah Bowman,0.076
USA,Snowboard,Women's Big Air,0.178,0.191,0.207,0.576,Julia Marino,0.108
USA,Snowboard,Women's Snowboard Cross,0.212,0.195,0.17,0.576,Lindsey Jacobellis,0.212
USA,Snowboard,Women's Slopestyle,0.177,0.189,0.206,0.572,Julia Marino,0.108
NOR,Biathlon,Men's 4x7.5km Relay,0.201,0.197,0.172,0.57,Team Norway,0.201
CHN,Snowboard,Men's Slopestyle,0.213,0.189,0.166,0.568,Su Yiming,0.213
CHN,Snowboard,Men's Big Air,0.213,0.189,0.166,0.568,Su Yiming,0.213
SWE,Cross-Country Skiing,Men's Team Sprint,0.186,0.196,0.187,0.568,Team Sweden,0.168
